FREQUENCY,BANDWIDTH,T/R,EMISSION,PWR,PWR Unit,AZIMUTH,CALL_SIGN,LICENCE_CATEGORY_NAME,LICENCEE,NAME,STATE,POSTCODE,Distance,Bearing,RELATED_EFL_ID,AREA_NAME
119600000,25000,R,6K00A3E  ,,W,,VKI861,Fixed Receive,SHIRE OF NARROGIN,PAALC site Narrogin Airport NARROGIN,WA,6312,142.23,47.1,,
162535000,25000,T,16K0F3E  ,50,W,,VH6CHD,Land Mobile System - > 30MHz,Melchiorre Seeds,170 Clayton Rd NARROGIN,WA,6312,6989.66,93.42,703652,
162535000,25000,R,16K0F3E  ,,W,,VH6CHD,Land Mobile System - > 30MHz,Melchiorre Seeds,170 Clayton Rd NARROGIN,WA,6312,6989.66,93.42,703653,
78865000,25000,T,16K0F3E  ,25,W,,VL6LI,Ambulatory System,SHIRE OF NARROGIN,Environs of NARROGIN,WA,6312,7054.13,93.96,703944,
78865000,25000,R,16K0F3E  ,,W,,VL6LI,Ambulatory System,SHIRE OF NARROGIN,Environs of NARROGIN,WA,6312,7054.13,93.96,703945,
78700000,12500,T,10K1F3E  ,50,W,,VZ6IJ,Land Mobile System - > 30MHz,ST JOHN AMBULANCE AUSTRALIA (WESTERN AUSTRALIA) INC.,Scaddan St NARROGIN,WA,6312,7185.33,101.62,710020,
81200000,12500,R,10K1F3E  ,,W,,VZ6IJ,Land Mobile System - > 30MHz,ST JOHN AMBULANCE AUSTRALIA (WESTERN AUSTRALIA) INC.,Scaddan St NARROGIN,WA,6312,7185.33,101.62,710017,
413475000,25000,R,16K0F3E  ,,W,68.1,VZ6IJ,Point to Point,ST JOHN AMBULANCE AUSTRALIA (WESTERN AUSTRALIA) INC.,Scaddan St NARROGIN,WA,6312,7185.33,101.62,719506,
80937500,12500,R,10K1F3E  ,,W,,VZ6IP,Land Mobile System - > 30MHz,Department of Fire and Emergency Services of WA,Scaddan St NARROGIN,WA,6312,7185.33,101.62,753031,
78437500,12500,T,10K1F3E  ,50,W,,VZ6IP,Land Mobile System - > 30MHz,Department of Fire and Emergency Services of WA,Scaddan St NARROGIN,WA,6312,7185.33,101.62,753034,
404025000,25000,T,16K0F3E  ,1,W,68.1,VZ6IJ,Point to Point,ST JOHN AMBULANCE AUSTRALIA (WESTERN AUSTRALIA) INC.,Scaddan St NARROGIN,WA,6312,7185.33,101.62,719509,
404025000,25000,T,16K0F3E  ,1,W,83.18,VZ6IJ,Point to Point,ST JOHN AMBULANCE AUSTRALIA (WESTERN AUSTRALIA) INC.,Scaddan St NARROGIN,WA,6312,7185.33,101.62,757076,
413475000,25000,R,16K0F3E  ,,W,83.18,VZ6IJ,Point to Point,ST JOHN AMBULANCE AUSTRALIA (WESTERN AUSTRALIA) INC.,Scaddan St NARROGIN,WA,6312,7185.33,101.62,757073,
413475000,25000,R,16K0F3E  ,,W,60.11,VZ6IJ,Point to Point,ST JOHN AMBULANCE AUSTRALIA (WESTERN AUSTRALIA) INC.,Scaddan St NARROGIN,WA,6312,7185.33,101.62,719498,
